CAVG,CINTMAX,CINTMED,CINTMIN,CMAX,CMED,CMIN,CRRALL,CRRINT,DAVG,DINTAVG,DINTMAX,DINTMED,DINTMIN,DMAX,DMED,DMIN,DRRALL,DRRINT,GEO_ID,RESP_DATE,state,county,tract
,,,,,,,63.7,63.4,,,,,,,,,1.3,1.3,1400000US31153010206,2020-04-03,31,153,010206
,,,,,,,55.0,54.2,,,,,,,,,2.2,2.2,1400000US31153010107,2020-04-03,31,153,010107
,,,,,,,62.9,62.7,,,,,,,,,2.0,2.0,1400000US31153010203,2020-04-03,31,153,010203
,,,,,,,61.9,61.9,,,,,,,,,2.6,2.6,1400000US31153010205,2020-04-03,31,153,010205
,,,,,,,53.8,53.7,,,,,,,,,2.0,2.0,1400000US31153010208,2020-04-03,31,153,010208
,,,,,,,65.0,64.8,,,,,,,,,2.2,2.2,1400000US31153010209,2020-04-03,31,153,010209
,,,,,,,30.0,30.0,,,,,,,,,2.3,2.3,1400000US31153010305,2020-04-03,31,153,010305
,,,,,,,37.3,37.2,,,,,,,,,2.8,2.8,1400000US31153010306,2020-04-03,31,153,010306
,,,,,,,40.7,40.2,,,,,,,,,0.7,0.7,1400000US31153010402,2020-04-03,31,153,010402
,,,,,,,51.1,49.9,,,,,,,,,1.1,1.0,1400000US31153010502,2020-04-03,31,153,010502
,,,,,,,60.1,59.8,,,,,,,,,2.1,2.1,1400000US31153010504,2020-04-03,31,153,010504
,,,,,,,44.7,43.6,,,,,,,,,1.0,1.0,1400000US31153010614,2020-04-03,31,153,010614
,,,,,,,60.0,59.5,,,,,,,,,2.1,2.1,1400000US31153010615,2020-04-03,31,153,010615
,,,,,,,64.8,64.6,,,,,,,,,1.5,1.5,1400000US31153010617,2020-04-03,31,153,010617
,,,,,,,51.9,50.9,,,,,,,,,1.6,1.6,1400000US31153010619,2020-04-03,31,153,010619
,,,,,,,53.7,53.1,,,,,,,,,1.2,1.2,1400000US31153010621,2020-04-03,31,153,010621
,,,,,,,61.2,60.9,,,,,,,,,2.6,2.6,1400000US31153010622,2020-04-03,31,153,010622
,,,,,,,63.4,63.3,,,,,,,,,2.9,2.9,1400000US31153010624,2020-04-03,31,153,010624
,,,,,,,56.5,56.1,,,,,,,,,1.4,1.4,1400000US31153010625,2020-04-03,31,153,010625
,,,,,,,58.8,58.7,,,,,,,,,2.0,2.0,1400000US31153010627,2020-04-03,31,153,010627
,,,,,,,62.2,62.1,,,,,,,,,1.9,1.9,1400000US31153010630,2020-04-03,31,153,010630
,,,,,,,59.7,59.4,,,,,,,,,1.4,1.3,1400000US31153010631,2020-04-03,31,153,010631
,,,,,,,57.2,56.6,,,,,,,,,2.3,2.3,1400000US31153010633,2020-04-03,31,153,010633
,,,,,,,64.2,63.6,,,,,,,,,1.8,1.7,1400000US31153010634,2020-04-03,31,153,010634
,,,,,,,63.6,63.5,,,,,,,,,1.6,1.6,1400000US31153010636,2020-04-03,31,153,010636
,,,,,,,61.6,61.5,,,,,,,,,1.3,1.3,1400000US31153010637,2020-04-03,31,153,010637
,,,,,,,57.7,57.4,,,,,,,,,2.3,2.3,1400000US31153010701,2020-04-03,31,153,010701
,,,,,,,50.2,49.7,,,,,,,,,2.2,2.1,1400000US31153010702,2020-04-03,31,153,010702
,,,,,,,39.0,38.4,,,,,,,,,1.5,1.5,1400000US31155968200,2020-04-03,31,155,968200
,,,,,,,34.7,34.5,,,,,,,,,1.4,1.4,1400000US31155968400,2020-04-03,31,155,968400
,,,,,,,37.9,37.6,,,,,,,,,1.0,1.0,1400000US31155968500,2020-04-03,31,155,968500
,,,,,,,32.3,13.9,,,,,,,,,0.9,0.5,1400000US31157952900,2020-04-03,31,157,952900
,,,,,,,39.9,39.5,,,,,,,,,1.1,1.1,1400000US31157953000,2020-04-03,31,157,953000
,,,,,,,35.4,13.2,,,,,,,,,0.5,0.3,1400000US31157953100,2020-04-03,31,157,953100
,,,,,,,37.5,37.4,,,,,,,,,1.6,1.6,1400000US31157953200,2020-04-03,31,157,953200
,,,,,,,52.0,20.6,,,,,,,,,1.1,0.6,1400000US31157953300,2020-04-03,31,157,953300
,,,,,,,54.5,53.5,,,,,,,,,2.1,2.1,1400000US31157953400,2020-04-03,31,157,953400
,,,,,,,37.2,36.1,,,,,,,,,1.2,1.2,1400000US31157953500,2020-04-03,31,157,953500
,,,,,,,43.9,42.9,,,,,,,,,0.9,0.9,1400000US31157953600,2020-04-03,31,157,953600
,,,,,,,35.4,14.3,,,,,,,,,0.6,0.1,1400000US31157953700,2020-04-03,31,157,953700
,,,,,,,43.3,42.5,,,,,,,,,1.6,1.6,1400000US31157953800,2020-04-03,31,157,953800
,,,,,,,47.8,47.0,,,,,,,,,0.8,0.8,1400000US31157953900,2020-04-03,31,157,953900
,,,,,,,60.9,22.6,,,,,,,,,0.9,0.5,1400000US31159960100,2020-04-03,31,159,960100
,,,,,,,42.5,13.5,,,,,,,,,1.1,0.6,1400000US31161951600,2020-04-03,31,161,951600
,,,,,,,53.5,52.3,,,,,,,,,0.9,0.9,1400000US31159960200,2020-04-03,31,159,960200
,,,,,,,62.1,61.6,,,,,,,,,1.0,0.9,1400000US31159960300,2020-04-03,31,159,960300
,,,,,,,46.8,46.5,,,,,,,,,1.8,1.8,1400000US31159960400,2020-04-03,31,159,960400
,,,,,,,35.0,9.5,,,,,,,,,1.1,0.4,1400000US31161951700,2020-04-03,31,161,951700
,,,,,,,39.6,11.4,,,,,,,,,0.9,0.5,1400000US31163970100,2020-04-03,31,163,970100
,,,,,,,50.1,13.5,,,,,,,,,0.7,0.1,1400000US31167962100,2020-04-03,31,167,962100
,,,,,,,44.4,43.8,,,,,,,,,1.9,1.8,1400000US31167962200,2020-04-03,31,167,962200
,,,,,,,55.2,16.4,,,,,,,,,0.8,0.6,1400000US31169963200,2020-04-03,31,169,963200
,,,,,,,10.1,10.1,,,,,,,,,0.7,0.7,1400000US31173940200,2020-04-03,31,173,940200
,,,,,,,57.0,16.7,,,,,,,,,0.9,0.2,1400000US31175971400,2020-04-03,31,175,971400
,,,,,,,56.7,56.0,,,,,,,,,2.0,2.0,1400000US31177050101,2020-04-03,31,177,050101
,,,,,,,60.4,60.2,,,,,,,,,2.2,2.1,1400000US31177050201,2020-04-03,31,177,050201
,,,,,,,48.3,47.8,,,,,,,,,1.6,1.6,1400000US31177050300,2020-04-03,31,177,050300
,,,,,,,32.7,32.5,,,,,,,,,1.0,1.0,1400000US31181965000,2020-04-03,31,181,965000
,,,,,,,42.0,13.0,,,,,,,,,1.2,0.4,1400000US31181965100,2020-04-03,31,181,965100
,,,,,,,45.3,44.9,,,,,,,,,1.3,1.3,1400000US31185969600,2020-04-03,31,185,969600
,,,,,,,49.3,48.8,,,,,,,,,1.3,1.3,1400000US31185969700,2020-04-03,31,185,969700
,,,,,,,26.4,26.4,,,,,,,,,1.3,1.3,1400000US31185969900,2020-04-03,31,185,969900
,,,,,,,51.5,51.1,,,,,,,,,1.5,1.5,1400000US31019969204,2020-04-03,31,019,969204
,,,,,,,50.9,50.4,,,,,,,,,0.9,0.9,1400000US31019969400,2020-04-03,31,019,969400
,,,,,,,48.5,47.9,,,,,,,,,0.8,0.8,1400000US31019969700,2020-04-03,31,019,969700
,,,,,,,47.8,13.3,,,,,,,,,0.6,0.3,1400000US31021963400,2020-04-03,31,021,963400
,,,,,,,56.1,17.9,,,,,,,,,1.7,0.4,1400000US31023967800,2020-04-03,31,023,967800
,,,,,,,43.4,43.3,,,,,,,,,1.1,1.1,1400000US31025965800,2020-04-03,31,025,965800
,,,,,,,42.8,42.5,,,,,,,,,1.3,1.3,1400000US31025966000,2020-04-03,31,025,966000
,,,,,,,39.3,38.5,,,,,,,,,1.2,1.1,1400000US31027977200,2020-04-03,31,027,977200
,,,,,,,24.2,9.6,,,,,,,,,1.6,1.4,1400000US31031955900,2020-04-03,31,031,955900
,,,,,,,43.5,42.9,,,,,,,,,1.0,1.0,1400000US31033955000,2020-04-03,31,033,955000
,,,,,,,39.8,39.3,,,,,,,,,0.9,0.9,1400000US31035962200,2020-04-03,31,035,962200
,,,,,,,36.3,35.5,,,,,,,,,1.5,1.5,1400000US31037964800,2020-04-03,31,037,964800
,,,,,,,47.2,16.0,,,,,,,,,0.9,0.6,1400000US31039972900,2020-04-03,31,039,972900
,,,,,,,47.1,46.2,,,,,,,,,0.7,0.7,1400000US31041971900,2020-04-03,31,041,971900
,,,,,,,39.2,16.0,,,,,,,,,1.5,0.7,1400000US31043010101,2020-04-03,31,043,010101
,,,,,,,36.7,36.2,,,,,,,,,1.6,1.6,1400000US31043010300,2020-04-03,31,043,010300
,,,,,,,44.2,43.7,,,,,,,,,1.1,1.1,1400000US31045950700,2020-04-03,31,045,950700
,,,,,,,51.6,51.3,,,,,,,,,0.7,0.7,1400000US31047968200,2020-04-03,31,047,968200
,,,,,,,34.7,33.8,,,,,,,,,0.9,0.9,1400000US31047968400,2020-04-03,31,047,968400
