CAVG,CINTMAX,CINTMED,CINTMIN,CMAX,CMED,CMIN,CRRALL,CRRINT,DAVG,DINTAVG,DINTMAX,DINTMED,DINTMIN,DMAX,DMED,DMIN,DRRALL,DRRINT,GEO_ID,RESP_DATE,state,county,tract
,,,,,,,21.3,18.5,,,,,,,,,0.3,0.3,1400000US54049021500,2020-04-21,54,049,021500
,,,,,,,46.3,21.1,,,,,,,,,0.1,0.1,1400000US54049021601,2020-04-21,54,049,021601
,,,,,,,40.0,19.2,,,,,,,,,0.3,0.1,1400000US54049021602,2020-04-21,54,049,021602
,,,,,,,54.4,22.0,,,,,,,,,0.4,0.4,1400000US54049021700,2020-04-21,54,049,021700
,,,,,,,42.6,21.3,,,,,,,,,0.1,0.1,1400000US54049021800,2020-04-21,54,049,021800
,,,,,,,42.3,13.5,,,,,,,,,0.0,0.0,1400000US54051020200,2020-04-21,54,051,020200
,,,,,,,48.1,18.1,,,,,,,,,0.2,0.0,1400000US54051020500,2020-04-21,54,051,020500
,,,,,,,45.3,44.0,,,,,,,,,0.1,0.0,1400000US54051020601,2020-04-21,54,051,020601
,,,,,,,65.2,24.2,,,,,,,,,0.0,0.0,1400000US54051020702,2020-04-21,54,051,020702
,,,,,,,36.9,15.7,,,,,,,,,0.1,0.1,1400000US54051020800,2020-04-21,54,051,020800
,,,,,,,49.6,18.6,,,,,,,,,0.1,0.1,1400000US54051020900,2020-04-21,54,051,020900
,,,,,,,51.3,49.9,,,,,,,,,0.7,0.7,1400000US54051021001,2020-04-21,54,051,021001
,,,,,,,55.4,47.9,,,,,,,,,2.2,0.4,1400000US54051021002,2020-04-21,54,051,021002
,,,,,,,60.2,24.6,,,,,,,,,0.1,0.1,1400000US54051021100,2020-04-21,54,051,021100
,,,,,,,19.4,17.1,,,,,,,,,0.3,0.3,1400000US54053954801,2020-04-21,54,053,954801
,,,,,,,41.7,17.6,,,,,,,,,0.2,0.1,1400000US54053954901,2020-04-21,54,053,954901
,,,,,,,56.0,22.7,,,,,,,,,0.4,0.1,1400000US54053954902,2020-04-21,54,053,954902
,,,,,,,25.6,15.6,,,,,,,,,0.1,0.1,1400000US54053955101,2020-04-21,54,053,955101
,,,,,,,20.5,11.3,,,,,,,,,0.1,0.0,1400000US54055000900,2020-04-21,54,055,000900
,,,,,,,36.0,17.2,,,,,,,,,0.0,0.0,1400000US54055001000,2020-04-21,54,055,001000
,,,,,,,43.5,42.0,,,,,,,,,0.1,0.1,1400000US54055001200,2020-04-21,54,055,001200
,,,,,,,44.6,17.9,,,,,,,,,0.4,0.3,1400000US54055001300,2020-04-21,54,055,001300
,,,,,,,46.4,45.2,,,,,,,,,0.3,0.3,1400000US54055001500,2020-04-21,54,055,001500
,,,,,,,29.1,14.7,,,,,,,,,0.1,0.1,1400000US54055001700,2020-04-21,54,055,001700
,,,,,,,36.4,15.5,,,,,,,,,0.2,0.2,1400000US54055001800,2020-04-21,54,055,001800
,,,,,,,34.4,13.0,,,,,,,,,0.1,0.1,1400000US54055002000,2020-04-21,54,055,002000
,,,,,,,40.8,38.1,,,,,,,,,0.9,0.3,1400000US54055002200,2020-04-21,54,055,002200
,,,,,,,38.5,16.7,,,,,,,,,0.5,0.3,1400000US54055002300,2020-04-21,54,055,002300
,,,,,,,19.7,19.3,,,,,,,,,0.4,0.4,1400000US54057010100,2020-04-21,54,057,010100
,,,,,,,39.1,23.6,,,,,,,,,0.5,0.5,1400000US54057010300,2020-04-21,54,057,010300
,,,,,,,34.1,21.4,,,,,,,,,0.2,0.2,1400000US54057010400,2020-04-21,54,057,010400
,,,,,,,7.2,6.9,,,,,,,,,0.0,0.0,1400000US54059957100,2020-04-21,54,059,957100
,,,,,,,11.1,10.7,,,,,,,,,0.3,0.2,1400000US54059957200,2020-04-21,54,059,957200
,,,,,,,36.4,16.1,,,,,,,,,0.3,0.2,1400000US54059957400,2020-04-21,54,059,957400
,,,,,,,7.7,7.1,,,,,,,,,0.1,0.1,1400000US54059957500,2020-04-21,54,059,957500
,,,,,,,6.4,6.2,,,,,,,,,0.2,0.2,1400000US54059957700,2020-04-21,54,059,957700
,,,,,,,23.3,22.9,,,,,,,,,0.5,0.3,1400000US54061010104,2020-04-21,54,061,010104
,,,,,,,43.3,42.6,,,,,,,,,0.7,0.5,1400000US54061010203,2020-04-21,54,061,010203
,,,,,,,53.4,50.9,,,,,,,,,0.6,0.3,1400000US54061010400,2020-04-21,54,061,010400
,,,,,,,45.5,43.6,,,,,,,,,1.8,0.5,1400000US54061010601,2020-04-21,54,061,010601
,,,,,,,36.8,35.7,,,,,,,,,0.5,0.0,1400000US54061010700,2020-04-21,54,061,010700
,,,,,,,49.0,47.9,,,,,,,,,0.6,0.3,1400000US54061010901,2020-04-21,54,061,010901
,,,,,,,54.4,52.4,,,,,,,,,0.7,0.2,1400000US54061011000,2020-04-21,54,061,011000
,,,,,,,52.4,50.5,,,,,,,,,1.2,0.4,1400000US54061011100,2020-04-21,54,061,011100
,,,,,,,50.2,49.1,,,,,,,,,0.4,0.4,1400000US54061011300,2020-04-21,54,061,011300
,,,,,,,42.1,41.1,,,,,,,,,0.5,0.3,1400000US54061011500,2020-04-21,54,061,011500
,,,,,,,46.9,46.0,,,,,,,,,0.3,0.1,1400000US54061011601,2020-04-21,54,061,011601
,,,,,,,57.5,56.6,,,,,,,,,0.2,0.1,1400000US54061011700,2020-04-21,54,061,011700
,,,,,,,62.5,61.2,,,,,,,,,0.3,0.2,1400000US54061011804,2020-04-21,54,061,011804
,,,,,,,59.4,58.5,,,,,,,,,0.4,0.4,1400000US54061011805,2020-04-21,54,061,011805
,,,,,,,63.2,62.3,,,,,,,,,0.1,0.1,1400000US54061011900,2020-04-21,54,061,011900
,,,,,,,14.6,11.0,,,,,,,,,0.3,0.2,1400000US54063950100,2020-04-21,54,063,950100
,,,,,,,13.9,13.4,,,,,,,,,0.2,0.2,1400000US54063950200,2020-04-21,54,063,950200
,,,,,,,48.8,48.0,,,,,,,,,0.3,0.2,1400000US54065970701,2020-04-21,54,065,970701
,,,,,,,44.9,44.4,,,,,,,,,0.5,0.5,1400000US54065970702,2020-04-21,54,065,970702
,,,,,,,49.9,19.5,,,,,,,,,0.2,0.1,1400000US54065970800,2020-04-21,54,065,970800
,,,,,,,10.7,10.3,,,,,,,,,0.1,0.1,1400000US54065970900,2020-04-21,54,065,970900
,,,,,,,50.3,18.7,,,,,,,,,0.2,0.2,1400000US54065971001,2020-04-21,54,065,971001
,,,,,,,50.6,21.2,,,,,,,,,0.3,0.3,1400000US54065971002,2020-04-21,54,065,971002
,,,,,,,45.1,20.0,,,,,,,,,0.2,0.1,1400000US54067950100,2020-04-21,54,067,950100
,,,,,,,43.3,42.2,,,,,,,,,0.4,0.2,1400000US54067950201,2020-04-21,54,067,950201
