CAVG,CINTMAX,CINTMED,CINTMIN,CMAX,CMED,CMIN,CRRALL,CRRINT,DAVG,DINTAVG,DINTMAX,DINTMED,DINTMIN,DMAX,DMED,DMIN,DRRALL,DRRINT,GEO_ID,RESP_DATE,state,county,tract
,,,,,,,60.2,57.0,,,,,,,,,0.4,0.3,1400000US50007003503,2020-04-24,50,007,003503
,,,,,,,63.1,57.2,,,,,,,,,0.5,0.2,1400000US50007003600,2020-04-24,50,007,003600
,,,,,,,59.6,56.1,,,,,,,,,2.7,0.3,1400000US50007004002,2020-04-24,50,007,004002
,,,,,,,15.3,7.6,,,,,,,,,0.0,0.0,1400000US50009950100,2020-04-24,50,009,950100
,,,,,,,11.3,10.1,,,,,,,,,0.3,0.2,1400000US50009950200,2020-04-24,50,009,950200
,,,,,,,28.6,13.7,,,,,,,,,0.1,0.1,1400000US50009950500,2020-04-24,50,009,950500
,,,,,,,39.8,38.0,,,,,,,,,1.7,0.3,1400000US50011010101,2020-04-24,50,011,010101
,,,,,,,40.4,38.6,,,,,,,,,1.5,0.4,1400000US50011010102,2020-04-24,50,011,010102
,,,,,,,47.3,20.0,,,,,,,,,0.3,0.2,1400000US50011010200,2020-04-24,50,011,010200
,,,,,,,51.0,47.8,,,,,,,,,2.5,0.3,1400000US50011010500,2020-04-24,50,011,010500
,,,,,,,50.2,45.7,,,,,,,,,0.6,0.3,1400000US50011010600,2020-04-24,50,011,010600
,,,,,,,45.2,40.1,,,,,,,,,4.8,0.7,1400000US50011010700,2020-04-24,50,011,010700
,,,,,,,59.5,52.1,,,,,,,,,0.5,0.1,1400000US50011010800,2020-04-24,50,011,010800
,,,,,,,60.4,57.0,,,,,,,,,0.7,0.5,1400000US50011010900,2020-04-24,50,011,010900
,,,,,,,56.0,55.4,,,,,,,,,0.9,0.5,1400000US50011011000,2020-04-24,50,011,011000
,,,,,,,22.9,22.4,,,,,,,,,0.6,0.3,1400000US50013020100,2020-04-24,50,013,020100
,,,,,,,44.1,42.6,,,,,,,,,0.6,0.5,1400000US50013020200,2020-04-24,50,013,020200
,,,,,,,34.4,18.2,,,,,,,,,0.3,0.2,1400000US50015953000,2020-04-24,50,015,953000
,,,,,,,42.8,40.7,,,,,,,,,0.3,0.3,1400000US50015953100,2020-04-24,50,015,953100
,,,,,,,44.9,43.0,,,,,,,,,1.9,0.5,1400000US50015953300,2020-04-24,50,015,953300
,,,,,,,36.7,34.9,,,,,,,,,1.6,0.4,1400000US50015953400,2020-04-24,50,015,953400
,,,,,,,28.3,27.2,,,,,,,,,0.1,0.1,1400000US50015953600,2020-04-24,50,015,953600
,,,,,,,33.0,32.1,,,,,,,,,0.8,0.3,1400000US50017959101,2020-04-24,50,017,959101
,,,,,,,37.0,15.3,,,,,,,,,0.3,0.2,1400000US50017959102,2020-04-24,50,017,959102
,,,,,,,41.8,40.1,,,,,,,,,0.9,0.3,1400000US50017959300,2020-04-24,50,017,959300
,,,,,,,49.0,44.8,,,,,,,,,0.2,0.2,1400000US50017959400,2020-04-24,50,017,959400
,,,,,,,45.1,43.3,,,,,,,,,0.4,0.2,1400000US50017959600,2020-04-24,50,017,959600
,,,,,,,28.0,26.3,,,,,,,,,0.9,0.2,1400000US50017959700,2020-04-24,50,017,959700
,,,,,,,18.5,10.0,,,,,,,,,0.1,0.1,1400000US50019951100,2020-04-24,50,019,951100
,,,,,,,38.7,36.0,,,,,,,,,1.4,0.4,1400000US50019951300,2020-04-24,50,019,951300
,,,,,,,53.6,44.5,,,,,,,,,0.2,0.2,1400000US50019951400,2020-04-24,50,019,951400
,,,,,,,26.4,23.2,,,,,,,,,0.3,0.2,1400000US50019951600,2020-04-24,50,019,951600
,,,,,,,40.0,16.6,,,,,,,,,0.2,0.1,1400000US50019951700,2020-04-24,50,019,951700
,,,,,,,33.1,12.8,,,,,,,,,0.2,0.1,1400000US50019951900,2020-04-24,50,019,951900
,,,,,,,29.6,11.5,,,,,,,,,0.1,0.1,1400000US50019952000,2020-04-24,50,019,952000
,,,,,,,52.4,47.0,,,,,,,,,0.4,0.4,1400000US50021962200,2020-04-24,50,021,962200
,,,,,,,47.6,44.7,,,,,,,,,1.6,0.4,1400000US50021962400,2020-04-24,50,021,962400
,,,,,,,58.0,48.8,,,,,,,,,0.6,0.4,1400000US50021962500,2020-04-24,50,021,962500
,,,,,,,56.6,23.3,,,,,,,,,0.3,0.2,1400000US50021962700,2020-04-24,50,021,962700
,,,,,,,17.3,16.3,,,,,,,,,0.1,0.0,1400000US50021962800,2020-04-24,50,021,962800
,,,,,,,44.9,17.8,,,,,,,,,0.3,0.1,1400000US50021963100,2020-04-24,50,021,963100
,,,,,,,47.3,42.5,,,,,,,,,1.6,0.3,1400000US50021963200,2020-04-24,50,021,963200
,,,,,,,55.2,22.8,,,,,,,,,0.3,0.2,1400000US50021963400,2020-04-24,50,021,963400
,,,,,,,33.8,14.9,,,,,,,,,0.3,0.3,1400000US50021963600,2020-04-24,50,021,963600
,,,,,,,49.3,41.3,,,,,,,,,0.4,0.3,1400000US50021963700,2020-04-24,50,021,963700
,,,,,,,31.5,29.4,,,,,,,,,0.9,0.4,1400000US50021964000,2020-04-24,50,021,964000
,,,,,,,39.5,14.3,,,,,,,,,0.1,0.1,1400000US50021964200,2020-04-24,50,021,964200
,,,,,,,41.1,38.5,,,,,,,,,0.7,0.5,1400000US50023954000,2020-04-24,50,023,954000
