CAVG,CINTMAX,CINTMED,CINTMIN,CMAX,CMED,CMIN,CRRALL,CRRINT,DAVG,DINTAVG,DINTMAX,DINTMED,DINTMIN,DMAX,DMED,DMIN,DRRALL,DRRINT,GEO_ID,RESP_DATE,state,county,tract
,,,,,,,72.7,68.5,,,,,,,,,0.0,0.0,1400000US49049000506,2020-06-05,49,049,000506
,,,,,,,59.2,55.3,,,,,,,,,0.0,0.0,1400000US49049000400,2020-06-05,49,049,000400
,,,,,,,74.0,66.3,,,,,,,,,0.1,0.1,1400000US49049000504,2020-06-05,49,049,000504
,,,,,,,84.1,80.6,,,,,,,,,0.0,0.0,1400000US49049000505,2020-06-05,49,049,000505
,,,,,,,81.1,76.5,,,,,,,,,0.0,0.0,1400000US49049000507,2020-06-05,49,049,000507
,,,,,,,74.4,69.1,,,,,,,,,0.1,0.1,1400000US49049000508,2020-06-05,49,049,000508
,,,,,,,44.3,41.9,,,,,,,,,0.0,0.0,1400000US49049000511,2020-06-05,49,049,000511
,,,,,,,73.3,69.7,,,,,,,,,0.1,0.0,1400000US49049000601,2020-06-05,49,049,000601
,,,,,,,77.9,73.5,,,,,,,,,0.0,0.0,1400000US49049000603,2020-06-05,49,049,000603
,,,,,,,84.0,82.0,,,,,,,,,0.0,0.0,1400000US49049000604,2020-06-05,49,049,000604
,,,,,,,64.5,60.1,,,,,,,,,0.1,0.1,1400000US49049000703,2020-06-05,49,049,000703
,,,,,,,74.5,70.0,,,,,,,,,0.1,0.1,1400000US49049000707,2020-06-05,49,049,000707
,,,,,,,84.8,81.2,,,,,,,,,0.0,0.0,1400000US49049000708,2020-06-05,49,049,000708
,,,,,,,81.5,78.6,,,,,,,,,0.0,0.0,1400000US49049000709,2020-06-05,49,049,000709
,,,,,,,84.6,80.7,,,,,,,,,0.0,0.0,1400000US49049000710,2020-06-05,49,049,000710
,,,,,,,83.9,80.3,,,,,,,,,0.0,0.0,1400000US49049000711,2020-06-05,49,049,000711
,,,,,,,66.7,61.0,,,,,,,,,0.1,0.0,1400000US49049000801,2020-06-05,49,049,000801
