CAVG,CINTMAX,CINTMED,CINTMIN,CMAX,CMED,CMIN,CRRALL,CRRINT,DAVG,DINTAVG,DINTMAX,DINTMED,DINTMIN,DMAX,DMED,DMIN,DRRALL,DRRINT,GEO_ID,RESP_DATE,state,county,tract
,,,,,,,34.5,34.1,,,,,,,,,0.3,0.3,1400000US38003967900,2020-04-17,38,003,967900
,,,,,,,36.9,34.4,,,,,,,,,0.6,0.2,1400000US38003968000,2020-04-17,38,003,968000
,,,,,,,53.3,46.8,,,,,,,,,1.1,0.2,1400000US38003968200,2020-04-17,38,003,968200
,,,,,,,67.1,27.8,,,,,,,,,0.2,0.0,1400000US38003968300,2020-04-17,38,003,968300
,,,,,,,10.0,7.7,,,,,,,,,0.0,0.0,1400000US38005940100,2020-04-17,38,005,940100
,,,,,,,33.9,23.3,,,,,,,,,0.2,0.2,1400000US38005956700,2020-04-17,38,005,956700
,,,,,,,36.2,16.3,,,,,,,,,0.3,0.3,1400000US38007963100,2020-04-17,38,007,963100
,,,,,,,53.2,51.7,,,,,,,,,0.2,0.2,1400000US38009952300,2020-04-17,38,009,952300
,,,,,,,29.8,29.0,,,,,,,,,0.1,0.0,1400000US38009952400,2020-04-17,38,009,952400
,,,,,,,41.6,40.7,,,,,,,,,0.9,0.3,1400000US38009952500,2020-04-17,38,009,952500
,,,,,,,39.9,38.5,,,,,,,,,1.3,0.3,1400000US38011965200,2020-04-17,38,011,965200
,,,,,,,38.6,38.4,,,,,,,,,0.3,0.1,1400000US38011965300,2020-04-17,38,011,965300
,,,,,,,33.8,19.3,,,,,,,,,0.4,0.4,1400000US38013953300,2020-04-17,38,013,953300
,,,,,,,50.6,49.8,,,,,,,,,0.0,0.0,1400000US38015010200,2020-04-17,38,015,010200
,,,,,,,64.2,62.8,,,,,,,,,0.2,0.2,1400000US38015010400,2020-04-17,38,015,010400
,,,,,,,64.5,64.1,,,,,,,,,0.3,0.3,1400000US38015010500,2020-04-17,38,015,010500
,,,,,,,64.1,63.5,,,,,,,,,0.0,0.0,1400000US38015010700,2020-04-17,38,015,010700
,,,,,,,67.3,65.9,,,,,,,,,0.1,0.1,1400000US38015010900,2020-04-17,38,015,010900
,,,,,,,60.4,58.8,,,,,,,,,1.0,0.4,1400000US38015011001,2020-04-17,38,015,011001
,,,,,,,65.5,62.3,,,,,,,,,2.0,0.3,1400000US38015011101,2020-04-17,38,015,011101
,,,,,,,75.2,75.0,,,,,,,,,0.3,0.3,1400000US38015011104,2020-04-17,38,015,011104
,,,,,,,71.4,71.0,,,,,,,,,0.1,0.1,1400000US38015011105,2020-04-17,38,015,011105
,,,,,,,67.4,66.3,,,,,,,,,1.1,0.4,1400000US38015011300,2020-04-17,38,015,011300
,,,,,,,46.6,45.3,,,,,,,,,1.0,0.4,1400000US38015011500,2020-04-17,38,015,011500
,,,,,,,48.7,47.4,,,,,,,,,0.1,0.1,1400000US38017000203,2020-04-17,38,017,000203
,,,,,,,53.8,50.6,,,,,,,,,0.8,0.3,1400000US38017000204,2020-04-17,38,017,000204
,,,,,,,44.3,38.5,,,,,,,,,0.8,0.1,1400000US38017000602,2020-04-17,38,017,000602
,,,,,,,56.5,52.0,,,,,,,,,0.6,0.1,1400000US38017000400,2020-04-17,38,017,000400
,,,,,,,39.3,37.3,,,,,,,,,0.6,0.3,1400000US38017000502,2020-04-17,38,017,000502
,,,,,,,49.4,45.7,,,,,,,,,0.9,0.3,1400000US38017000601,2020-04-17,38,017,000601
,,,,,,,35.9,31.6,,,,,,,,,1.3,0.4,1400000US38017000700,2020-04-17,38,017,000700
,,,,,,,49.1,45.9,,,,,,,,,0.8,0.4,1400000US38017000801,2020-04-17,38,017,000801
,,,,,,,54.9,50.5,,,,,,,,,0.9,0.3,1400000US38017000802,2020-04-17,38,017,000802
,,,,,,,68.9,63.1,,,,,,,,,1.1,0.3,1400000US38017000901,2020-04-17,38,017,000901
,,,,,,,47.2,46.5,,,,,,,,,0.3,0.2,1400000US38017000903,2020-04-17,38,017,000903
,,,,,,,60.6,59.7,,,,,,,,,0.4,0.4,1400000US38017000904,2020-04-17,38,017,000904
,,,,,,,62.3,58.6,,,,,,,,,1.0,0.2,1400000US38017001003,2020-04-17,38,017,001003
,,,,,,,54.5,53.0,,,,,,,,,0.6,0.3,1400000US38017001004,2020-04-17,38,017,001004
,,,,,,,45.3,44.6,,,,,,,,,0.1,0.1,1400000US38017010106,2020-04-17,38,017,010106
,,,,,,,43.1,41.9,,,,,,,,,0.2,0.2,1400000US38017010107,2020-04-17,38,017,010107
,,,,,,,71.9,68.1,,,,,,,,,0.4,0.1,1400000US38017010110,2020-04-17,38,017,010110
,,,,,,,63.4,62.3,,,,,,,,,0.0,0.0,1400000US38017010111,2020-04-17,38,017,010111
,,,,,,,57.4,56.0,,,,,,,,,0.5,0.4,1400000US38017010112,2020-04-17,38,017,010112
,,,,,,,66.9,66.4,,,,,,,,,0.3,0.2,1400000US38017010201,2020-04-17,38,017,010201
,,,,,,,74.1,73.3,,,,,,,,,0.2,0.1,1400000US38017010205,2020-04-17,38,017,010205
,,,,,,,61.9,61.1,,,,,,,,,0.2,0.2,1400000US38017010303,2020-04-17,38,017,010303
,,,,,,,60.2,57.7,,,,,,,,,0.7,0.2,1400000US38017010305,2020-04-17,38,017,010305
,,,,,,,78.2,77.9,,,,,,,,,0.3,0.3,1400000US38017010307,2020-04-17,38,017,010307
,,,,,,,51.2,50.6,,,,,,,,,0.5,0.5,1400000US38017040200,2020-04-17,38,017,040200
,,,,,,,60.0,56.9,,,,,,,,,1.1,0.4,1400000US38017040300,2020-04-17,38,017,040300
,,,,,,,55.5,55.0,,,,,,,,,0.2,0.2,1400000US38017040501,2020-04-17,38,017,040501
,,,,,,,64.5,63.9,,,,,,,,,0.3,0.2,1400000US38017040502,2020-04-17,38,017,040502
,,,,,,,57.4,55.3,,,,,,,,,0.7,0.3,1400000US38017040504,2020-04-17,38,017,040504
,,,,,,,57.8,56.6,,,,,,,,,0.8,0.4,1400000US38017040506,2020-04-17,38,017,040506
