CAVG,CINTMAX,CINTMED,CINTMIN,CMAX,CMED,CMIN,CRRALL,CRRINT,DAVG,DINTAVG,DINTMAX,DINTMED,DINTMIN,DMAX,DMED,DMIN,DRRALL,DRRINT,GEO_ID,RESP_DATE,state,county,tract
,,,,,,,82.5,75.3,,,,,,,,,0.0,0.0,1400000US35001004723,2020-08-28,35,001,004723
,,,,,,,82.0,73.5,,,,,,,,,0.2,0.0,1400000US35001004726,2020-08-28,35,001,004726
,,,,,,,77.7,70.4,,,,,,,,,0.2,0.1,1400000US35001004728,2020-08-28,35,001,004728
,,,,,,,76.7,70.6,,,,,,,,,0.2,0.1,1400000US35001004755,2020-08-28,35,001,004755
,,,,,,,81.1,76.1,,,,,,,,,0.1,0.1,1400000US35001004758,2020-08-28,35,001,004758
,,,,,,,55.5,44.5,,,,,,,,,0.1,0.0,1400000US35001004760,2020-08-28,35,001,004760
,,,,,,,69.7,63.4,,,,,,,,,0.0,0.0,1400000US35001004763,2020-08-28,35,001,004763
,,,,,,,60.7,51.7,,,,,,,,,0.2,0.1,1400000US35001004800,2020-08-28,35,001,004800
,,,,,,,69.1,65.6,,,,,,,,,0.2,0.1,1400000US35001940601,2020-08-28,35,001,940601
,,,,,,,22.0,8.6,,,,,,,,,0.1,0.0,1400000US35003976401,2020-08-28,35,003,976401
,,,,,,,54.0,27.9,,,,,,,,,0.5,0.2,1400000US35005000201,2020-08-28,35,005,000201
,,,,,,,63.0,30.1,,,,,,,,,0.0,0.0,1400000US35005000302,2020-08-28,35,005,000302
,,,,,,,52.5,21.2,,,,,,,,,0.3,0.1,1400000US35005000600,2020-08-28,35,005,000600
,,,,,,,66.6,33.8,,,,,,,,,0.2,0.0,1400000US35005000800,2020-08-28,35,005,000800
,,,,,,,66.3,57.4,,,,,,,,,0.0,0.0,1400000US35005001002,2020-08-28,35,005,001002
,,,,,,,48.9,24.1,,,,,,,,,0.4,0.0,1400000US35005001200,2020-08-28,35,005,001200
,,,,,,,40.3,31.1,,,,,,,,,0.5,0.0,1400000US35005001400,2020-08-28,35,005,001400
,,,,,,,31.2,13.7,,,,,,,,,1.2,0.1,1400000US35006946100,2020-08-28,35,006,946100
,,,,,,,58.1,24.7,,,,,,,,,0.4,0.1,1400000US35006974202,2020-08-28,35,006,974202
,,,,,,,47.5,16.8,,,,,,,,,0.2,0.0,1400000US35007950500,2020-08-28,35,007,950500
,,,,,,,40.0,20.6,,,,,,,,,0.2,0.1,1400000US35009000100,2020-08-28,35,009,000100
,,,,,,,52.2,26.8,,,,,,,,,0.2,0.1,1400000US35009000202,2020-08-28,35,009,000202
,,,,,,,62.9,33.9,,,,,,,,,0.4,0.1,1400000US35009000306,2020-08-28,35,009,000306
,,,,,,,39.9,19.9,,,,,,,,,0.4,0.2,1400000US35009000400,2020-08-28,35,009,000400
,,,,,,,60.2,55.0,,,,,,,,,0.3,0.0,1400000US35009000602,2020-08-28,35,009,000602
,,,,,,,14.8,14.4,,,,,,,,,0.0,0.0,1400000US35009000900,2020-08-28,35,009,000900
,,,,,,,57.5,28.5,,,,,,,,,0.2,0.0,1400000US35013000103,2020-08-28,35,013,000103
,,,,,,,56.2,48.3,,,,,,,,,0.1,0.1,1400000US35013001106,2020-08-28,35,013,001106
,,,,,,,75.4,66.9,,,,,,,,,0.2,0.1,1400000US35013001205,2020-08-28,35,013,001205
,,,,,,,58.8,50.6,,,,,,,,,0.4,0.1,1400000US35013001207,2020-08-28,35,013,001207
,,,,,,,68.5,62.5,,,,,,,,,0.1,0.1,1400000US35013001210,2020-08-28,35,013,001210
,,,,,,,75.9,68.5,,,,,,,,,0.0,0.0,1400000US35013001310,2020-08-28,35,013,001310
,,,,,,,68.6,60.7,,,,,,,,,0.3,0.0,1400000US35013001312,2020-08-28,35,013,001312
,,,,,,,59.0,50.9,,,,,,,,,0.2,0.1,1400000US35013001315,2020-08-28,35,013,001315
,,,,,,,62.1,54.3,,,,,,,,,0.2,0.1,1400000US35013001317,2020-08-28,35,013,001317
,,,,,,,32.4,15.7,,,,,,,,,0.2,0.0,1400000US35013001402,2020-08-28,35,013,001402
,,,,,,,55.2,46.1,,,,,,,,,0.3,0.2,1400000US35013001502,2020-08-28,35,013,001502
,,,,,,,42.5,22.9,,,,,,,,,0.1,0.0,1400000US35013001702,2020-08-28,35,013,001702
,,,,,,,53.9,27.4,,,,,,,,,0.2,0.1,1400000US35013001706,2020-08-28,35,013,001706
,,,,,,,46.2,29.5,,,,,,,,,0.3,0.2,1400000US35013001805,2020-08-28,35,013,001805
,,,,,,,52.5,28.1,,,,,,,,,0.1,0.1,1400000US35013001809,2020-08-28,35,013,001809
,,,,,,,71.2,62.0,,,,,,,,,0.3,0.1,1400000US35001004720,2020-08-28,35,001,004720
,,,,,,,41.9,22.7,,,,,,,,,0.2,0.0,1400000US35013001811,2020-08-28,35,013,001811
,,,,,,,37.9,24.3,,,,,,,,,0.4,0.4,1400000US35013001814,2020-08-28,35,013,001814
,,,,,,,60.0,54.0,,,,,,,,,0.1,0.1,1400000US35015000200,2020-08-28,35,015,000200
,,,,,,,51.3,43.3,,,,,,,,,0.2,0.1,1400000US35015000401,2020-08-28,35,015,000401
,,,,,,,45.5,24.5,,,,,,,,,0.1,0.0,1400000US35015000600,2020-08-28,35,015,000600
,,,,,,,47.9,40.0,,,,,,,,,0.1,0.1,1400000US35015000900,2020-08-28,35,015,000900
,,,,,,,64.1,55.3,,,,,,,,,0.2,0.2,1400000US35015001100,2020-08-28,35,015,001100
,,,,,,,46.6,30.0,,,,,,,,,0.3,0.0,1400000US35017964200,2020-08-28,35,017,964200
,,,,,,,52.2,43.2,,,,,,,,,0.1,0.1,1400000US35017964402,2020-08-28,35,017,964402
,,,,,,,71.5,63.4,,,,,,,,,0.2,0.1,1400000US35017964701,2020-08-28,35,017,964701
,,,,,,,52.4,32.7,,,,,,,,,0.4,0.2,1400000US35017964800,2020-08-28,35,017,964800
,,,,,,,35.5,20.0,,,,,,,,,0.1,0.0,1400000US35023970000,2020-08-28,35,023,970000
,,,,,,,32.6,20.9,,,,,,,,,0.2,0.0,1400000US35027960300,2020-08-28,35,027,960300
,,,,,,,21.9,18.0,,,,,,,,,0.1,0.0,1400000US35027960403,2020-08-28,35,027,960403
,,,,,,,27.7,22.3,,,,,,,,,0.0,0.0,1400000US35027960602,2020-08-28,35,027,960602
,,,,,,,85.3,79.4,,,,,,,,,0.1,0.0,1400000US35028000100,2020-08-28,35,028,000100
,,,,,,,72.0,66.0,,,,,,,,,0.0,0.0,1400000US35028000400,2020-08-28,35,028,000400
,,,,,,,63.9,29.1,,,,,,,,,0.2,0.1,1400000US35029000200,2020-08-28,35,029,000200
,,,,,,,44.8,30.7,,,,,,,,,0.3,0.1,1400000US35029000402,2020-08-28,35,029,000402
,,,,,,,48.2,22.6,,,,,,,,,3.9,0.0,1400000US35031940301,2020-08-28,35,031,940301
,,,,,,,42.1,19.5,,,,,,,,,3.2,0.0,1400000US35031940500,2020-08-28,35,031,940500
,,,,,,,20.2,6.7,,,,,,,,,2.0,0.1,1400000US35031943602,2020-08-28,35,031,943602
,,,,,,,21.2,5.8,,,,,,,,,1.2,0.0,1400000US35031943901,2020-08-28,35,031,943901
,,,,,,,16.2,2.7,,,,,,,,,0.7,0.1,1400000US35031944000,2020-08-28,35,031,944000
,,,,,,,41.0,30.5,,,,,,,,,0.7,0.1,1400000US35031945300,2020-08-28,35,031,945300
,,,,,,,60.8,49.6,,,,,,,,,0.6,0.1,1400000US35031945500,2020-08-28,35,031,945500
,,,,,,,21.3,6.8,,,,,,,,,0.9,0.1,1400000US35031946000,2020-08-28,35,031,946000
,,,,,,,23.6,7.6,,,,,,,,,1.4,0.1,1400000US35033955201,2020-08-28,35,033,955201
,,,,,,,50.6,22.5,,,,,,,,,0.1,0.0,1400000US35035000200,2020-08-28,35,035,000200
,,,,,,,64.6,52.6,,,,,,,,,0.2,0.2,1400000US35035000305,2020-08-28,35,035,000305
,,,,,,,74.4,68.3,,,,,,,,,0.2,0.2,1400000US35035000403,2020-08-28,35,035,000403
,,,,,,,50.5,42.0,,,,,,,,,0.1,0.1,1400000US35035000501,2020-08-28,35,035,000501
,,,,,,,36.7,17.4,,,,,,,,,0.1,0.1,1400000US35035000602,2020-08-28,35,035,000602
,,,,,,,51.3,40.8,,,,,,,,,0.2,0.1,1400000US35035000701,2020-08-28,35,035,000701
,,,,,,,25.6,18.6,,,,,,,,,0.2,0.0,1400000US35035000901,2020-08-28,35,035,000901
,,,,,,,38.2,23.1,,,,,,,,,0.3,0.1,1400000US35035940000,2020-08-28,35,035,940000
,,,,,,,65.7,60.3,,,,,,,,,0.1,0.1,1400000US35043010601,2020-08-28,35,043,010601
,,,,,,,78.3,69.5,,,,,,,,,0.5,0.3,1400000US35043010705,2020-08-28,35,043,010705
,,,,,,,70.2,59.5,,,,,,,,,0.3,0.1,1400000US35043010713,2020-08-28,35,043,010713
,,,,,,,75.3,66.4,,,,,,,,,0.5,0.2,1400000US35043010719,2020-08-28,35,043,010719
,,,,,,,66.8,60.6,,,,,,,,,0.5,0.1,1400000US35043010722,2020-08-28,35,043,010722
,,,,,,,71.9,67.0,,,,,,,,,0.3,0.1,1400000US35043010726,2020-08-28,35,043,010726
,,,,,,,70.8,62.9,,,,,,,,,0.2,0.1,1400000US35043010729,2020-08-28,35,043,010729
,,,,,,,74.0,69.0,,,,,,,,,0.5,0.1,1400000US35043010731,2020-08-28,35,043,010731
,,,,,,,68.0,62.5,,,,,,,,,0.2,0.0,1400000US35043010734,2020-08-28,35,043,010734
,,,,,,,62.4,55.1,,,,,,,,,0.2,0.1,1400000US35043011102,2020-08-28,35,043,011102
,,,,,,,55.3,46.2,,,,,,,,,0.1,0.0,1400000US35043940200,2020-08-28,35,043,940200
,,,,,,,57.8,30.3,,,,,,,,,1.2,0.0,1400000US35043940600,2020-08-28,35,043,940600
,,,,,,,19.4,2.6,,,,,,,,,1.2,0.0,1400000US35043940900,2020-08-28,35,043,940900
,,,,,,,52.9,25.8,,,,,,,,,0.4,0.0,1400000US35045000100,2020-08-28,35,045,000100
,,,,,,,75.9,69.1,,,,,,,,,0.4,0.0,1400000US35045000202,2020-08-28,35,045,000202
,,,,,,,54.2,43.4,,,,,,,,,0.5,0.1,1400000US35045000207,2020-08-28,35,045,000207
,,,,,,,64.9,55.7,,,,,,,,,0.2,0.0,1400000US35045000401,2020-08-28,35,045,000401
,,,,,,,44.0,26.7,,,,,,,,,0.1,0.0,1400000US35045000503,2020-08-28,35,045,000503
,,,,,,,40.2,31.3,,,,,,,,,0.4,0.1,1400000US35045000507,2020-08-28,35,045,000507
,,,,,,,56.7,45.9,,,,,,,,,0.0,0.0,1400000US35045000609,2020-08-28,35,045,000609
,,,,,,,55.5,45.6,,,,,,,,,0.0,0.0,1400000US35045000612,2020-08-28,35,045,000612
,,,,,,,53.2,45.8,,,,,,,,,0.2,0.2,1400000US35045000615,2020-08-28,35,045,000615
,,,,,,,54.3,24.0,,,,,,,,,0.4,0.0,1400000US35045000705,2020-08-28,35,045,000705
,,,,,,,44.0,20.2,,,,,,,,,0.4,0.2,1400000US35045000708,2020-08-28,35,045,000708
,,,,,,,17.4,2.2,,,,,,,,,1.4,0.0,1400000US35045942801,2020-08-28,35,045,942801
,,,,,,,63.0,55.7,,,,,,,,,0.2,0.1,1400000US35049000103,2020-08-28,35,049,000103
,,,,,,,51.4,40.7,,,,,,,,,0.1,0.1,1400000US35049000300,2020-08-28,35,049,000300
,,,,,,,45.1,38.6,,,,,,,,,0.0,0.0,1400000US35049000500,2020-08-28,35,049,000500
,,,,,,,69.9,58.6,,,,,,,,,0.1,0.1,1400000US35049000800,2020-08-28,35,049,000800
,,,,,,,71.4,29.8,,,,,,,,,0.2,0.1,1400000US35049001001,2020-08-28,35,049,001001
,,,,,,,70.1,56.7,,,,,,,,,0.0,0.0,1400000US35049001103,2020-08-28,35,049,001103
,,,,,,,73.0,35.0,,,,,,,,,0.5,0.1,1400000US35049001107,2020-08-28,35,049,001107
,,,,,,,54.8,47.9,,,,,,,,,0.5,0.1,1400000US35049001203,2020-08-28,35,049,001203
,,,,,,,66.7,37.3,,,,,,,,,0.2,0.0,1400000US35049001207,2020-08-28,35,049,001207
,,,,,,,56.0,32.4,,,,,,,,,0.2,0.1,1400000US35049001302,2020-08-28,35,049,001302
,,,,,,,64.8,57.4,,,,,,,,,0.4,0.2,1400000US35049001306,2020-08-28,35,049,001306
