CAVG,CINTMAX,CINTMED,CINTMIN,CMAX,CMED,CMIN,CRRALL,CRRINT,DAVG,DINTAVG,DINTMAX,DINTMED,DINTMIN,DMAX,DMED,DMIN,DRRALL,DRRINT,GEO_ID,RESP_DATE,state,county,tract
,,,,,,,45.5,21.1,,,,,,,,,0.6,0.4,1400000US01021060404,2020-04-06,01,021,060404
,,,,,,,44.4,16.9,,,,,,,,,0.4,0.0,1400000US01021060500,2020-04-06,01,021,060500
,,,,,,,47.1,19.3,,,,,,,,,0.3,0.2,1400000US01021060701,2020-04-06,01,021,060701
,,,,,,,31.9,11.6,,,,,,,,,0.3,0.0,1400000US01023956700,2020-04-06,01,023,956700
,,,,,,,45.2,16.0,,,,,,,,,0.6,0.3,1400000US01023956800,2020-04-06,01,023,956800
,,,,,,,41.6,14.9,,,,,,,,,0.6,0.2,1400000US01023957000,2020-04-06,01,023,957000
,,,,,,,27.9,10.1,,,,,,,,,0.4,0.1,1400000US01025957500,2020-04-06,01,025,957500
,,,,,,,46.5,20.1,,,,,,,,,0.5,0.1,1400000US01025957603,2020-04-06,01,025,957603
,,,,,,,48.0,22.2,,,,,,,,,0.5,0.1,1400000US01025957604,2020-04-06,01,025,957604
,,,,,,,40.7,15.8,,,,,,,,,0.4,0.1,1400000US01025957800,2020-04-06,01,025,957800
,,,,,,,46.5,18.4,,,,,,,,,0.3,0.0,1400000US01025957902,2020-04-06,01,025,957902
,,,,,,,36.7,16.2,,,,,,,,,0.4,0.2,1400000US01025958003,2020-04-06,01,025,958003
,,,,,,,41.5,15.1,,,,,,,,,0.5,0.2,1400000US01027959000,2020-04-06,01,027,959000
,,,,,,,49.5,15.7,,,,,,,,,0.8,0.2,1400000US01027959100,2020-04-06,01,027,959100
,,,,,,,34.6,12.8,,,,,,,,,0.7,0.2,1400000US01029959500,2020-04-06,01,029,959500
,,,,,,,40.2,16.2,,,,,,,,,0.2,0.0,1400000US01029959600,2020-04-06,01,029,959600
,,,,,,,44.1,14.9,,,,,,,,,0.3,0.1,1400000US01029959700,2020-04-06,01,029,959700
,,,,,,,46.4,17.3,,,,,,,,,0.5,0.3,1400000US01029959800,2020-04-06,01,029,959800
,,,,,,,37.2,14.6,,,,,,,,,0.2,0.1,1400000US01031010100,2020-04-06,01,031,010100
,,,,,,,37.1,13.6,,,,,,,,,0.4,0.2,1400000US01031010200,2020-04-06,01,031,010200
,,,,,,,39.6,38.7,,,,,,,,,0.5,0.5,1400000US01031010300,2020-04-06,01,031,010300
,,,,,,,39.9,14.7,,,,,,,,,0.5,0.2,1400000US01031010500,2020-04-06,01,031,010500
,,,,,,,46.4,16.0,,,,,,,,,0.6,0.3,1400000US01031010700,2020-04-06,01,031,010700
,,,,,,,44.1,44.0,,,,,,,,,1.1,1.1,1400000US01031010800,2020-04-06,01,031,010800
,,,,,,,44.2,20.1,,,,,,,,,0.3,0.2,1400000US01031010900,2020-04-06,01,031,010900
,,,,,,,45.7,22.9,,,,,,,,,0.2,0.1,1400000US01031011000,2020-04-06,01,031,011000
,,,,,,,46.7,45.9,,,,,,,,,0.4,0.4,1400000US01031011100,2020-04-06,01,031,011100
,,,,,,,56.0,55.4,,,,,,,,,0.8,0.8,1400000US01031011203,2020-04-06,01,031,011203
,,,,,,,60.0,59.5,,,,,,,,,0.3,0.3,1400000US01031011204,2020-04-06,01,031,011204
,,,,,,,43.0,42.7,,,,,,,,,0.2,0.2,1400000US01031011205,2020-04-06,01,031,011205
,,,,,,,42.0,41.5,,,,,,,,,0.8,0.8,1400000US01031011206,2020-04-06,01,031,011206
,,,,,,,37.1,35.9,,,,,,,,,0.3,0.3,1400000US01031011300,2020-04-06,01,031,011300
,,,,,,,48.3,20.3,,,,,,,,,0.5,0.3,1400000US01033020100,2020-04-06,01,033,020100
,,,,,,,39.9,16.6,,,,,,,,,1.2,0.4,1400000US01033020200,2020-04-06,01,033,020200
,,,,,,,58.4,57.8,,,,,,,,,0.7,0.7,1400000US01033020400,2020-04-06,01,033,020400
,,,,,,,46.7,45.9,,,,,,,,,0.5,0.5,1400000US01033020500,2020-04-06,01,033,020500
,,,,,,,50.2,49.3,,,,,,,,,0.6,0.6,1400000US01033020703,2020-04-06,01,033,020703
,,,,,,,51.6,50.4,,,,,,,,,0.4,0.4,1400000US01033020704,2020-04-06,01,033,020704
,,,,,,,50.4,49.5,,,,,,,,,0.8,0.8,1400000US01033020706,2020-04-06,01,033,020706
,,,,,,,47.6,15.5,,,,,,,,,0.6,0.2,1400000US01033020802,2020-04-06,01,033,020802
,,,,,,,50.5,18.3,,,,,,,,,0.7,0.2,1400000US01033020901,2020-04-06,01,033,020901
,,,,,,,42.6,16.0,,,,,,,,,0.6,0.2,1400000US01033021000,2020-04-06,01,033,021000
,,,,,,,31.4,9.2,,,,,,,,,0.1,0.1,1400000US01035960200,2020-04-06,01,035,960200
,,,,,,,39.2,11.1,,,,,,,,,0.4,0.2,1400000US01035960400,2020-04-06,01,035,960400
,,,,,,,36.2,13.8,,,,,,,,,0.1,0.1,1400000US01035960500,2020-04-06,01,035,960500
,,,,,,,47.8,47.2,,,,,,,,,0.4,0.4,1400000US01113030402,2020-04-06,01,113,030402
,,,,,,,48.9,25.5,,,,,,,,,0.9,0.4,1400000US01113030404,2020-04-06,01,113,030404
