CAVG,CINTMAX,CINTMED,CINTMIN,CMAX,CMED,CMIN,CRRALL,CRRINT,DAVG,DINTAVG,DINTMAX,DINTMED,DINTMIN,DMAX,DMED,DMIN,DRRALL,DRRINT,GEO_ID,RESP_DATE,state,county,tract
,,,,,,,68.0,61.0,,,,,,,,,0.1,0.1,1400000US50007003503,2020-05-13,50,007,003503
,,,,,,,70.5,60.7,,,,,,,,,0.3,0.0,1400000US50007003600,2020-05-13,50,007,003600
,,,,,,,68.0,59.7,,,,,,,,,0.1,0.0,1400000US50007004002,2020-05-13,50,007,004002
,,,,,,,16.9,8.7,,,,,,,,,0.0,0.0,1400000US50009950100,2020-05-13,50,009,950100
,,,,,,,14.7,11.9,,,,,,,,,0.1,0.0,1400000US50009950200,2020-05-13,50,009,950200
,,,,,,,32.1,15.5,,,,,,,,,0.3,0.1,1400000US50009950500,2020-05-13,50,009,950500
,,,,,,,49.6,40.6,,,,,,,,,0.1,0.0,1400000US50011010101,2020-05-13,50,011,010101
,,,,,,,49.9,41.4,,,,,,,,,0.2,0.1,1400000US50011010102,2020-05-13,50,011,010102
,,,,,,,52.0,22.3,,,,,,,,,0.3,0.1,1400000US50011010200,2020-05-13,50,011,010200
,,,,,,,60.5,50.4,,,,,,,,,0.4,0.1,1400000US50011010500,2020-05-13,50,011,010500
,,,,,,,57.4,48.6,,,,,,,,,0.2,0.0,1400000US50011010600,2020-05-13,50,011,010600
,,,,,,,54.6,42.6,,,,,,,,,0.2,0.1,1400000US50011010700,2020-05-13,50,011,010700
,,,,,,,65.2,54.6,,,,,,,,,0.2,0.1,1400000US50011010800,2020-05-13,50,011,010800
,,,,,,,69.2,60.9,,,,,,,,,0.2,0.1,1400000US50011010900,2020-05-13,50,011,010900
,,,,,,,65.3,58.2,,,,,,,,,0.3,0.1,1400000US50011011000,2020-05-13,50,011,011000
,,,,,,,28.1,23.9,,,,,,,,,0.1,0.1,1400000US50013020100,2020-05-13,50,013,020100
,,,,,,,50.3,45.0,,,,,,,,,0.3,0.1,1400000US50013020200,2020-05-13,50,013,020200
,,,,,,,38.5,20.5,,,,,,,,,0.4,0.1,1400000US50015953000,2020-05-13,50,015,953000
,,,,,,,49.6,43.5,,,,,,,,,0.1,0.1,1400000US50015953100,2020-05-13,50,015,953100
,,,,,,,57.2,46.8,,,,,,,,,0.0,0.0,1400000US50015953300,2020-05-13,50,015,953300
,,,,,,,46.1,37.9,,,,,,,,,0.3,0.1,1400000US50015953400,2020-05-13,50,015,953400
,,,,,,,32.8,29.7,,,,,,,,,0.2,0.2,1400000US50015953600,2020-05-13,50,015,953600
,,,,,,,42.7,35.6,,,,,,,,,0.5,0.2,1400000US50017959101,2020-05-13,50,017,959101
,,,,,,,41.0,16.5,,,,,,,,,0.4,0.2,1400000US50017959102,2020-05-13,50,017,959102
,,,,,,,53.2,43.4,,,,,,,,,0.3,0.0,1400000US50017959300,2020-05-13,50,017,959300
,,,,,,,58.2,48.0,,,,,,,,,0.2,0.1,1400000US50017959400,2020-05-13,50,017,959400
,,,,,,,50.8,46.1,,,,,,,,,0.2,0.0,1400000US50017959600,2020-05-13,50,017,959600
,,,,,,,33.6,28.8,,,,,,,,,0.3,0.1,1400000US50017959700,2020-05-13,50,017,959700
,,,,,,,21.0,11.5,,,,,,,,,0.3,0.2,1400000US50019951100,2020-05-13,50,019,951100
,,,,,,,45.6,38.1,,,,,,,,,0.3,0.1,1400000US50019951300,2020-05-13,50,019,951300
,,,,,,,60.7,46.0,,,,,,,,,0.2,0.0,1400000US50019951400,2020-05-13,50,019,951400
,,,,,,,30.8,24.5,,,,,,,,,0.3,0.0,1400000US50019951600,2020-05-13,50,019,951600
