CAVG,CINTMAX,CINTMED,CINTMIN,CMAX,CMED,CMIN,CRRALL,CRRINT,DAVG,DINTAVG,DINTMAX,DINTMED,DINTMIN,DMAX,DMED,DMIN,DRRALL,DRRINT,GEO_ID,RESP_DATE,state,county,tract
,,,,,,,34.5,14.4,,,,,,,,,0.0,0.0,1400000US40073958200,2020-04-27,40,073,958200
,,,,,,,31.5,30.5,,,,,,,,,0.3,0.2,1400000US40073958400,2020-04-27,40,073,958400
,,,,,,,30.7,11.5,,,,,,,,,0.0,0.0,1400000US40075963600,2020-04-27,40,075,963600
,,,,,,,27.1,11.8,,,,,,,,,0.0,0.0,1400000US40075964200,2020-04-27,40,075,964200
,,,,,,,25.5,12.4,,,,,,,,,0.0,0.0,1400000US40077087100,2020-04-27,40,077,087100
,,,,,,,28.1,12.8,,,,,,,,,0.0,0.0,1400000US40077087300,2020-04-27,40,077,087300
,,,,,,,53.5,22.3,,,,,,,,,0.0,0.0,1400000US40079040102,2020-04-27,40,079,040102
,,,,,,,44.9,16.9,,,,,,,,,0.0,0.0,1400000US40079040299,2020-04-27,40,079,040299
,,,,,,,43.8,17.7,,,,,,,,,0.1,0.1,1400000US40079040302,2020-04-27,40,079,040302
,,,,,,,46.2,16.8,,,,,,,,,0.1,0.0,1400000US40079040303,2020-04-27,40,079,040303
,,,,,,,42.7,18.9,,,,,,,,,0.1,0.1,1400000US40079040402,2020-04-27,40,079,040402
,,,,,,,33.1,16.0,,,,,,,,,0.0,0.0,1400000US40079040500,2020-04-27,40,079,040500
,,,,,,,33.7,13.6,,,,,,,,,0.0,0.0,1400000US40079040602,2020-04-27,40,079,040602
,,,,,,,46.2,18.6,,,,,,,,,0.1,0.0,1400000US40081961100,2020-04-27,40,081,961100
,,,,,,,36.4,17.2,,,,,,,,,0.1,0.1,1400000US40081961200,2020-04-27,40,081,961200
,,,,,,,45.2,18.9,,,,,,,,,0.0,0.0,1400000US40081961402,2020-04-27,40,081,961402
